,001-L,001-R,002-L,002-R,003-L,003-R,004-L,004-R,005-L,005-R,006-L,006-R,007-L,007-R,008-L,008-R,009-L,009-R,010-L,010-R,011-L,011-R,012-L,012-R,013-L,013-R,014-L,014-R,015-L,015-R,016-L,016-R,017-L,017-R,018-L,018-R,019-L,019-R,020-L,020-R,021-L,021-R,022-L,022-R,023-L,023-R,024-L,024-R,025-L,025-R,026-L,026-R,027-L,027-R,028-L,028-R,029-L,029-R,030-L,030-R,031-L,031-R,032-L,032-R,033-L,033-R,034-L,034-R,035-L,035-R,036-L,036-R,037-L,037-R,038-L,038-R,039-L,039-R,040-L,040-R,041-L,041-R,042-L,042-R,043-L,043-R,044-L,044-R,045-L,045-R,046-L,046-R,047-L,047-R,048-L,048-R,049-L,049-R,050-L,050-R,051-L,051-R,052-L,052-R,053-L,053-R,054-L,054-R,055-L,055-R,056-L,056-R,057-L,057-R,058-L,058-R,059-L,059-R,060-L,060-R,061-L,061-R,062-L,062-R,063-L,063-R,064-L,064-R,065-L,065-R,066-L,066-R,067-L,067-R,068-L,068-R,069-L,069-R,070-L,070-R,071-L,071-R,072-L,072-R,073-L,073-R,074-L,074-R,075-L,075-R,,,,,
4000,72.4901,73.2786,70.7059,70.7192,71.7868,71.7991,70.1088,71.1072,71.1753,71.0708,70.4437,69.9024,69.0721,70.3744,70.6090,72.6401,74.9039,73.5682,68.9652,67.1252,72.5810,73.5774,71.6390,71.6793,69.0777,68.4947,73.5524,74.1118,70.0182,69.9156,70.8431,71.7676,73.7010,73.2910,73.5430,73.9110,67.8258,68.7974,70.4891,70.4829,74.9364,70.4829,70.4788,70.1377,74.4911,75.3882,73.0115,74.1579,72.2697,71.9158,71.7396,72.3725,76.2083,73.3990,70.3287,70.6020,71.1424,70.6321,69.5822,70.2843,71.1323,69.3171,75.8819,77.0051,71.2622,70.9410,68.9206,68.2551,70.6156,67.5948,69.7595,68.4904,72.2733,72.3119,74.5703,71.0783,69.4072,69.9504,71.7138,72.8214,71.7923,75.0587,74.1449,75.0496,72.8125,71.3671,73.6831,71.2680,71.0425,68.7991,68.9383,67.1329,76.4955,75.7037,72.9482,72.3125,73.3229,72.7697,70.1382,69.1750,72.3554,70.9080,68.8915,69.2714,69.4459,68.5427,74.7372,72.7478,67.9640,69.6685,70.3757,70.8308,69.7588,68.3718,69.1134,69.2629,68.5453,68.5738,74.3235,75.8514,72.8395,71.9020,68.8778,68.8952,72.8433,74.2754,69.7674,69.1885,71.7146,70.5393,71.7146,73.2048,67.0751,67.2945,69.8987,69.7561,72.2834,73.3375,69.4662,68.8194,70.9558,70.4670,70.7221,69.9042,73.1618,72.1026,70.6637,69.0104,71.9559,69.6888,,,,,
4100,72.8086,73.5819,71.1280,71.0820,72.0999,72.1168,70.2902,71.3506,71.4436,71.4299,70.6068,70.0590,69.4057,70.7701,70.7588,72.8315,75.1680,73.9102,69.0723,67.2349,72.7461,73.7707,72.0260,72.0059,69.4470,68.7807,73.8439,74.2827,70.2747,70.2855,71.2061,72.1038,73.9827,73.3922,73.6561,73.9772,68.1135,69.0920,70.7770,70.8193,75.1642,70.8193,70.7818,70.5321,74.8515,75.6922,73.3502,74.3477,72.5681,72.0045,72.1703,72.8198,76.2282,73.5915,70.6885,71.0210,71.5076,70.9436,69.8412,70.5794,71.3492,69.4996,76.1015,77.2895,71.4964,71.1648,69.2510,68.4863,71.0399,67.9656,70.1701,68.8707,72.4038,72.5965,74.5775,71.3188,69.6721,70.3170,71.9623,73.1970,71.9055,75.1494,74.7268,75.6005,72.9034,71.5366,74.0833,71.6149,71.4403,69.2001,69.2400,67.3893,76.1970,75.1666,73.2690,72.7410,73.4347,73.1499,70.3888,69.5195,72.6551,71.1122,69.1880,69.5967,69.7597,68.8315,74.7682,72.9102,68.2131,70.0242,70.7154,71.2032,70.0443,68.6469,69.3139,69.4324,68.8065,68.8854,74.3278,75.7494,72.8816,72.0191,69.2320,69.1842,72.9849,74.3767,70.0550,69.5195,71.9444,70.7767,71.9955,73.4866,67.3653,67.5240,70.2305,70.0551,72.2212,73.2173,69.7801,69.1353,71.2721,70.7205,70.9773,70.1787,73.5845,72.4297,71.0347,69.3569,72.2584,69.9277,,,,,
4200,73.1102,73.8380,71.5353,71.4221,72.3781,72.4029,70.4168,71.5406,71.6895,71.7784,70.7317,70.1879,69.7317,71.1658,70.8864,72.9725,75.3446,74.2118,69.1456,67.3168,72.8651,73.9057,72.3798,72.2831,69.8060,69.0489,74.0849,74.3877,70.5007,70.6588,71.5467,72.4031,74.2336,73.4644,73.6961,73.9656,68.3938,69.3694,71.0492,71.1293,75.3018,71.1293,71.0479,70.8966,75.1401,75.9018,73.6120,74.4497,72.8360,72.0371,72.5920,73.2400,76.1738,73.7228,71.0131,71.4130,71.8554,71.2310,70.0986,70.8553,71.5420,69.6617,76.1848,77.4069,71.6634,71.3380,69.5538,68.6899,71.4557,68.3233,70.5776,69.2504,72.4528,72.8214,74.5126,71.5324,69.9033,70.6716,72.1542,73.5154,71.9658,75.1365,75.2553,76.0914,72.9314,71.6724,74.4374,71.9190,71.8225,69.5965,69.5356,67.6429,75.8490,74.6211,73.5413,73.1560,73.4918,73.4840,70.6233,69.8482,72.9206,71.2690,69.4655,69.9177,70.0452,69.1014,74.6553,72.9400,68.4557,70.3591,71.0283,71.5602,70.3069,68.8984,69.4837,69.5759,69.0547,69.1838,74.2547,75.5818,72.8434,72.0644,69.5848,69.4606,73.0630,74.4023,70.3150,69.8254,72.1395,70.9859,72.2180,73.7040,67.6436,67.7352,70.5534,70.3217,72.0670,73.0060,70.0761,69.4387,71.5640,70.9398,71.2117,70.4262,73.9799,72.7441,71.3422,69.6629,72.5078,70.1295,,,,,
4300,73.3919,74.0391,71.9223,71.7337,72.6165,72.6523,70.4860,71.6672,71.9072,72.1101,70.8193,70.2872,70.0479,71.5594,70.9925,73.0619,75.4325,74.4663,69.1848,67.3698,72.9350,73.9816,72.6928,72.5036,70.1508,69.2963,74.2700,74.4293,70.6900,71.0248,71.8600,72.6584,74.4482,73.5093,73.6677,73.8831,68.6652,69.6276,71.3029,71.4075,75.3480,71.4075,71.2727,71.2236,75.3464,76.0099,73.7854,74.4628,73.0694,72.0152,72.9994,73.6248,76.0558,73.7872,71.2925,71.7688,72.1804,71.4900,70.3529,71.1096,71.7092,69.8022,76.1354,77.3557,71.7569,71.4550,69.8207,68.8623,71.8596,68.6636,70.9786,69.6283,72.4225,72.9791,74.3879,71.7156,70.0939,71.0112,72.2866,73.7673,71.9745,75.0293,75.7076,76.5038,72.8991,71.7707,74.7358,72.1705,72.1856,69.9860,69.8241,67.8940,75.4738,74.0869,73.7576,73.5500,73.4978,73.7577,70.8399,70.1584,73.1476,71.3756,69.7217,70.2330,70.2976,69.3493,74.4219,72.8421,68.6925,70.6690,71.3063,71.8976,70.5419,69.1220,69.6207,69.6923,69.2880,69.4657,74.1141,75.3645,72.7287,72.0407,69.9343,69.7225,73.0789,74.3571,70.5439,70.1017,72.2982,71.1638,72.3765,73.8512,67.9058,67.9269,70.8649,70.5510,71.8304,72.7172,70.3513,69.7266,71.8262,71.1196,71.4232,70.6435,74.3403,73.0413,71.5744,69.9203,72.6998,70.2904,,,,,
4400,73.6512,74.1791,72.2829,72.0104,72.8113,72.8600,70.4977,71.7238,72.0906,72.4172,70.8679,70.3553,70.3512,71.9482,71.0778,73.0999,75.4361,74.6684,69.1908,67.3948,72.9556,73.9999,72.9581,72.6619,70.4767,69.5201,74.3955,74.4136,70.8353,71.3668,72.1406,72.8631,74.6205,73.5287,73.5793,73.7397,68.9260,69.8642,71.5350,71.6484,75.3073,71.6484,71.4529,71.5058,75.4642,76.0166,73.8639,74.3916,73.2639,71.9420,73.3865,73.9649,75.8875,73.7829,71.5173,72.0790,72.4767,71.7166,70.6020,71.3401,71.8493,69.9198,75.9693,77.1536,71.7743,71.5130,70.0434,69.0000,72.2477,68.9814,71.3688,70.0030,72.3194,73.0644,74.2172,71.8655,70.2412,71.3323,72.3591,73.9460,71.9350,74.8428,76.0619,76.8228,72.8120,71.8283,74.9703,72.3614,72.5258,70.3656,70.1045,68.1427,75.0879,73.5757,73.9119,73.9137,73.4585,73.9595,71.0369,70.4465,73.3330,71.4310,69.9544,70.5399,70.5121,69.5720,74.0988,72.6327,68.9240,70.9491,71.5419,72.2112,70.7449,69.3141,69.7235,69.7805,69.5041,69.7276,73.9189,75.1134,72.5445,71.9536,70.2783,69.9679,73.0382,74.2495,70.7383,70.3436,72.4192,71.3076,72.4689,73.9255,68.1485,68.0946,71.1624,70.7384,71.5242,72.3666,70.6026,69.9957,72.0533,71.2550,71.6095,70.8286,74.6574,73.3168,71.7228,70.1224,72.8328,70.4085,,,,,
4500,73.8856,74.2542,72.6101,72.2464,72.9598,73.0219,70.4548,71.7094,72.2334,72.6907,70.8796,70.3922,70.6381,72.3284,71.1433,73.0891,75.3650,74.8142,69.1644,67.3928,72.9292,73.9647,73.1694,72.7551,70.7786,69.7174,74.4601,74.3494,70.9304,71.6630,72.3836,73.0117,74.7439,73.5247,73.4410,73.5476,69.1742,70.0772,71.7428,71.8471,75.1892,71.8471,71.5866,71.7361,75.4931,75.9292,73.8468,74.2440,73.4158,71.8228,73.7458,74.2513,75.6828,73.7121,71.6785,72.3343,72.7386,71.9071,70.8437,71.5445,71.9608,70.0138,75.7107,76.8317,71.7174,71.5126,70.2138,69.1000,72.6158,69.2708,71.7434,70.3726,72.1532,73.0755,74.0141,71.9795,70.3441,71.6316,72.3744,74.0488,71.8526,74.5947,76.3023,77.0400,72.6773,71.8432,75.1350,72.4865,72.8391,70.7319,70.3751,68.3891,74.7032,73.0936,74.0007,74.2358,73.3809,74.0840,71.2125,70.7095,73.4751,71.4360,70.1616,70.8349,70.6844,69.7663,73.7166,72.3346,69.1506,71.1950,71.7274,72.4967,70.9112,69.4720,69.7912,69.8398,69.7007,69.9656,73.6831,74.8427,72.2998,71.8111,70.6140,70.1949,72.9486,74.0898,70.8954,70.5468,72.5020,71.4141,72.4955,73.9278,68.3670,68.2372,71.4427,70.8807,71.1625,71.9700,70.8269,70.2423,72.2401,71.3427,71.7688,70.9803,74.9236,73.5657,71.7839,70.2641,72.9087,70.4828,,,,,
4600,74.0931,74.2638,72.8968,72.4363,73.0605,73.1346,70.3635,71.6293,72.3311,72.9210,70.8573,70.3986,70.9045,72.6958,71.1900,73.0336,75.2325,74.9025,69.1076,67.3649,72.8605,73.8826,73.3224,72.7833,71.0506,69.8856,74.4654,74.2474,70.9706,71.8905,72.5846,73.1004,74.8125,73.4993,73.2640,73.3191,69.4068,70.2639,71.9237,71.9995,75.0060,71.9995,71.6732,71.9091,75.4387,75.7611,73.7400,74.0315,73.5216,71.6632,74.0692,74.4759,75.4547,73.5813,71.7690,72.5265,72.9603,72.0584,71.0750,71.7210,72.0421,70.0839,75.3860,76.4256,71.5915,71.4575,70.3259,69.1600,72.9594,69.5256,72.0964,70.7344,71.9352,73.0142,73.7909,72.0562,70.4035,71.9054,72.3381,74.0775,71.7342,74.3027,76.4223,77.1561,72.5035,71.8146,75.2278,72.5445,73.1220,71.0808,70.6346,68.6322,74.3272,72.6425,74.0246,74.5042,73.2732,74.1323,71.3651,70.9447,73.5746,71.3933,70.3416,71.1134,70.8105,69.9290,73.3013,71.9720,69.3722,71.4027,71.8574,72.7496,71.0370,69.5922,69.8244,69.8701,69.8748,70.1753,73.4203,74.5646,72.0046,71.6228,70.9377,70.4013,72.8196,73.8894,71.0132,70.7075,72.5469,71.4805,72.4604,73.8627,68.5571,68.3529,71.7018,70.9753,70.7586,71.5412,71.0217,70.4623,72.3829,71.3807,71.9000,71.0983,75.1325,73.7829,71.7601,70.3429,72.9318,70.5139,,,,,
4700,74.2722,74.2104,73.1363,72.5764,73.1136,73.1960,70.2317,71.4948,72.3809,73.0999,70.8021,70.3769,71.1460,73.0452,71.2193,72.9389,75.0528,74.9347,69.0225,67.3131,72.7555,73.7610,73.4148,72.7497,71.2869,70.0222,74.4151,74.1188,70.9544,72.0310,72.7398,73.1279,74.8218,73.4543,73.0595,73.0659,69.6205,70.4218,72.0757,72.1024,74.7711,72.1024,71.7135,72.0213,75.3113,75.5288,73.5542,73.7660,73.5791,71.4698,74.3484,74.6324,75.2141,73.4001,71.7848,72.6498,73.1372,72.1689,71.2928,71.8682,72.0918,70.1299,75.0195,75.9677,71.4048,71.3539,70.3765,69.1785,73.2741,69.7390,72.4212,71.0853,71.6769,72.8854,73.5578,72.0951,70.4232,72.1502,72.2573,74.0378,71.5872,73.9826,76.4270,77.1805,72.2992,71.7436,75.2502,72.5382,73.3710,71.4076,70.8812,68.8708,73.9638,72.2218,73.9871,74.7072,73.1432,74.1118,71.4933,71.1493,73.6334,71.3073,70.4929,71.3693,70.8882,70.0576,72.8721,71.5662,69.5884,71.5682,71.9288,72.9663,71.1194,69.6729,69.8237,69.8722,70.0235,70.3521,73.1426,74.2882,71.6688,71.3980,71.2450,70.5856,72.6607,73.6591,71.0906,70.8234,72.5550,71.5044,72.3699,73.7376,68.7139,68.4399,71.9358,71.0211,70.3242,71.0919,71.1846,70.6518,72.4797,71.3693,72.0025,71.1833,75.2798,73.9639,71.6580,70.3593,72.9090,70.5041,,,,,
4800,74.4226,74.0991,73.3229,72.6652,73.1206,73.2053,70.0691,71.3203,72.3835,73.2218,70.7207,70.3303,71.3583,73.3710,71.2318,72.8113,74.8400,74.9146,68.9118,67.2391,72.6206,73.6085,73.4468,72.6601,71.4817,70.1252,74.3148,73.9743,70.8833,72.0757,72.8473,73.0955,74.7704,73.3914,72.8372,72.7976,69.8113,70.5485,72.1973,72.1544,74.4971,72.1544,71.7098,72.0717,75.1243,75.2490,73.3032,73.4595,73.5875,71.2495,74.5752,74.7170,74.9688,73.1789,71.7239,72.7010,73.2657,72.2379,71.4932,71.9849,72.1089,70.1526,74.6313,75.4841,71.1671,71.2093,70.3665,69.1556,73.5552,69.9048,72.7112,71.4213,71.3892,72.6964,73.3231,72.0966,70.4081,72.3633,72.1404,73.9390,71.4190,73.6473,76.3313,77.1291,72.0725,71.6322,75.2071,72.4742,73.5833,71.7072,71.1127,69.1031,73.6143,71.8283,73.8947,74.8353,72.9988,74.0340,71.5959,71.3212,73.6558,71.1835,70.6145,71.5954,70.9160,70.1496,72.4417,71.1337,69.7979,71.6888,71.9423,73.1441,71.1565,69.7133,69.7911,69.8476,70.1435,70.4917,72.8601,74.0207,71.3012,71.1454,71.5313,70.7459,72.4815,73.4085,71.1274,70.8929,72.5277,71.4837,72.2320,73.5613,68.8339,68.4979,72.1403,71.0187,69.8685,70.6308,71.3144,70.8072,72.5304,71.3105,72.0768,71.2369,75.3634,74.1050,71.4885,70.3164,72.8482,70.4571,,,,,
4900,74.5446,73.9372,73.4525,72.7036,73.0840,73.1629,69.8857,71.1211,72.3422,73.2859,70.6153,70.2632,71.5374,73.6672,71.2285,72.6575,74.6063,74.8483,68.7784,67.1453,72.4622,73.4336,73.4210,72.5221,71.6302,70.1934,74.1714,73.8227,70.7622,72.0276,72.9062,73.0072,74.6621,73.3118,72.6057,72.5217,69.9745,70.6417,72.2876,72.1560,74.1951,72.1560,71.6656,72.0614,74.8920,74.9371,73.0017,73.1221,73.5481,71.0090,74.7429,74.7292,74.7239,72.9278,71.5888,72.6807,73.3437,72.2661,71.6725,72.0705,72.0927,70.1530,74.2360,74.9934,70.8877,71.0314,70.3008,69.0926,73.7987,70.0172,72.9597,71.7375,71.0816,72.4561,73.0928,72.0623,70.3643,72.5425,71.9960,73.7918,71.2366,73.3068,76.1561,77.0204,71.8311,71.4838,75.1060,72.3619,73.7566,71.9738,71.3270,69.3262,73.2781,71.4574,73.7558,74.8840,72.8466,73.9115,71.6721,71.4586,73.6467,71.0287,70.7061,71.7835,70.8940,70.2034,72.0174,70.6854,69.9982,71.7625,71.9018,73.2811,71.1476,69.7134,69.7289,69.7986,70.2315,70.5897,72.5805,73.7668,70.9089,70.8736,71.7908,70.8812,72.2904,73.1458,71.1244,70.9162,72.4674,71.4181,72.0550,73.3434,68.9142,68.5262,72.3109,70.9697,69.3981,70.1642,71.4099,70.9254,72.5375,71.2084,72.1242,71.2606,75.3842,74.2035,71.2640,70.2194,72.7577,70.3774,,,,,
5000,74.6394,73.7327,73.5238,72.6949,73.0069,73.0703,69.6914,70.9115,72.2627,73.2965,70.4926,70.1797,71.6806,73.9278,71.2097,72.4840,74.3618,74.7433,68.6250,67.0356,72.2865,73.2449,73.3420,72.3443,71.7288,70.2259,73.9924,73.6714,70.5973,71.8972,72.9174,72.8688,74.5068,73.2164,72.3717,72.2432,70.1052,70.6991,72.3470,72.1088,73.8736,72.1088,71.5849,71.9942,74.6281,74.6056,72.6633,72.7620,73.4639,70.7546,74.8468,74.6714,74.4823,72.6552,71.3846,72.5925,73.3710,72.2553,71.8269,72.1252,72.0432,70.1327,73.8439,74.5075,70.5749,70.8272,70.1869,68.9920,74.0011,70.0718,73.1604,72.0285,70.7615,72.1735,72.8709,71.9944,70.2991,72.6861,71.8322,73.6077,71.0463,72.9682,75.9237,76.8727,71.5817,71.3026,74.9557,72.2114,73.8897,72.2017,71.5213,69.5363,72.9529,71.1032,73.5793,74.8541,72.6925,73.7561,71.7218,71.5607,73.6124,70.8501,70.7674,71.9253,70.8236,70.2183,71.6021,70.2270,70.1859,71.7887,71.8140,73.3765,71.0933,69.6743,69.6406,69.7282,70.2844,70.6423,72.3101,73.5299,70.4971,70.5889,72.0182,70.9907,72.0942,72.8772,71.0834,70.8950,72.3768,71.3094,71.8470,73.0928,68.9531,68.5253,72.4438,70.8769,68.9178,69.6959,71.4713,71.0044,72.5052,71.0684,72.1464,71.2563,75.3455,74.2581,70.9970,70.0748,72.6450,70.2702,,,,,
5100,74.7093,73.4933,73.5379,72.6442,72.8928,72.9296,69.4951,70.7040,72.1519,73.2624,70.3558,70.0846,71.7859,74.1476,71.1753,72.2963,74.1141,74.6073,68.4547,66.9109,72.1002,73.0499,73.2155,72.1352,71.7757,70.2227,73.7847,73.5259,70.3957,71.6975,72.8839,72.6876,74.3202,73.1056,72.1406,71.9649,70.1984,70.7190,72.3760,72.0165,73.5390,72.0165,71.4720,71.8749,74.3443,74.2640,72.2993,72.3856,73.3402,70.4924,74.8851,74.5487,74.2455,72.3671,71.1178,72.4419,73.3489,72.2080,71.9524,72.1493,71.9611,70.0936,73.4608,74.0336,70.2348,70.6024,70.0341,68.8576,74.1593,70.0662,73.3087,72.2879,70.4351,71.8573,72.6599,71.8955,70.2183,72.7938,71.6565,73.3972,70.8531,72.6362,75.6539,76.7011,71.3293,71.0927,74.7645,72.0328,73.9816,72.3852,71.6928,69.7288,72.6347,70.7586,73.3742,74.7525,72.5411,73.5769,71.7451,71.6270,73.5593,70.6554,70.7985,72.0133,70.7075,70.1938,71.1955,69.7600,70.3558,71.7678,71.6872,73.4308,70.9953,69.5982,69.5294,69.6396,70.2995,70.6464,72.0535,73.3121,70.0689,70.2968,72.2077,71.0738,71.8975,72.6069,71.0066,70.8319,72.2589,71.1621,71.6155,72.8177,68.9508,68.4964,72.5360,70.7436,68.4314,69.2284,71.4995,71.0433,72.4394,70.8972,72.1458,71.2255,75.2525,74.2690,70.6981,69.8900,72.5169,70.1412,,,,,
5200,74.7566,73.2252,73.4984,72.5575,72.7446,72.7433,69.3048,70.5108,72.0160,73.1954,70.2098,69.9813,71.8530,74.3220,71.1247,72.0993,73.8687,74.4476,68.2701,66.7752,71.9110,72.8571,73.0480,71.9030,71.7710,70.1842,73.5545,73.3897,70.1629,71.4397,72.8086,72.4714,74.1221,72.9798,71.9161,71.6877,70.2490,70.7000,72.3760,71.8831,73.1955,71.8831,71.3312,71.7094,74.0499,73.9185,71.9185,71.9972,73.1837,70.2279,74.8586,74.3678,74.0157,72.0692,70.7961,72.2365,73.2803,72.1275,72.0457,72.1439,71.8477,70.0377,73.0899,73.5747,69.8709,70.3612,69.8505,68.6935,74.2711,69.9996,73.4013,72.5091,70.1060,71.5150,72.4608,71.7684,70.1270,72.8661,71.4749,73.1694,70.6615,72.3139,75.3621,76.5166,71.0779,70.8585,74.5394,71.8348,74.0325,72.5189,71.8385,69.8983,72.3184,70.4161,73.1483,74.5902,72.3958,73.3811,71.7427,71.6574,73.4937,70.4525,70.8000,72.0418,70.5490,70.1306,70.7955,69.2824,70.5017,71.7012,71.5299,73.4452,70.8562,69.4871,69.3987,69.5363,70.2746,70.5998,71.8148,73.1151,69.6257,70.0013,72.3543,71.1305,71.7030,72.3379,70.8970,70.7307,72.1171,70.9842,71.3666,72.5247,68.9084,68.4411,72.5855,70.5735,67.9431,68.7628,71.4959,71.0426,72.3463,70.7014,72.1249,71.1693,75.1116,74.2375,70.3762,69.6719,72.3784,69.9959,,,,,
5300,74.7844,72.9327,73.4112,72.4413,72.5651,72.5140,69.1278,70.3452,71.8602,73.1082,70.0595,69.8724,71.8829,74.4473,71.0573,71.8965,73.6286,74.2705,68.0741,66.6310,71.7285,72.6756,72.8456,71.6547,71.7168,70.1114,73.3073,73.2645,69.9024,71.1295,72.6961,72.2276,73.9321,72.8398,71.7011,71.4119,70.2533,70.6408,72.3487,71.7137,72.8460,71.7137,71.1664,71.5036,73.7520,73.5724,71.5269,71.5995,73.0013,69.9665,74.7709,74.1364,73.7980,71.7687,70.4270,71.9838,73.1687,72.0170,72.1038,72.1101,71.7049,69.9663,72.7318,73.1316,69.4844,70.1066,69.6428,68.5038,74.3347,69.8736,73.4369,72.6853,69.7775,71.1529,72.2734,71.6158,70.0318,72.9043,71.2925,72.9316,70.4748,72.0030,75.0587,76.3251,70.8302,70.6034,74.2850,71.6247,74.0428,72.5983,71.9548,70.0385,71.9978,70.0682,72.9081,74.3800,72.2590,73.1742,71.7155,71.6526,73.4216,70.2502,70.7722,72.0080,70.3523,70.0297,70.3987,68.7895,70.6162,71.5910,71.3496,73.4222,70.6789,69.3440,69.2519,69.4211,70.2082,70.5017,71.5985,72.9403,69.1681,69.7057,72.4537,71.1610,71.5116,72.0710,70.7579,70.5961,71.9548,70.7855,71.1050,72.2191,68.8284,68.3618,72.5915,70.3704,67.4604,68.3007,71.4622,71.0035,72.2319,70.4883,72.0857,71.0880,74.9296,74.1661,70.0376,69.4268,72.2329,69.8408,,,,,
5400,74.7957,72.6183,73.2835,72.3011,72.3562,72.2447,68.9702,70.2211,71.6888,73.0122,69.9075,69.7595,71.8767,74.5211,70.9725,71.6902,73.3949,74.0801,67.8690,66.4810,71.5628,72.5154,72.6141,71.3962,71.6170,70.0056,73.0468,73.1506,69.6144,70.7690,72.5515,71.9631,73.7661,72.6872,71.4975,71.1383,70.2092,70.5413,72.2958,71.5131,72.4925,71.5131,70.9807,71.2632,73.4552,73.2274,71.1285,71.1948,72.8001,69.7136,74.6271,73.8623,73.6036,71.4801,70.0176,71.6915,73.0187,71.8801,72.1242,72.0494,71.5343,69.8802,72.3855,72.7031,69.0756,69.8417,69.4144,68.2922,74.3490,69.6915,73.4159,72.8103,69.4515,70.7759,72.0964,71.4400,69.9351,72.9103,71.1127,72.6896,70.2962,71.7045,74.7491,76.1280,70.5871,70.3302,74.0031,71.4092,74.0133,72.6203,72.0380,70.1431,71.6669,69.7090,72.6588,74.1340,72.1321,72.9618,71.6650,71.6129,73.3486,70.0579,70.7154,71.9125,70.1218,69.8930,70.0015,68.2771,70.6918,71.4404,71.1519,73.3641,70.4665,69.1724,69.0925,69.2960,70.1002,70.3525,71.4107,72.7895,68.6978,69.4132,72.5027,71.1658,71.3224,71.8064,70.5925,70.4329,71.7761,70.5767,70.8349,71.9054,68.7143,68.2611,72.5547,70.1375,66.9984,67.8454,71.4004,70.9285,72.1009,70.2653,72.0294,70.9811,74.7130,74.0581,69.6870,69.1605,72.0824,69.6821,,,,,
5500,74.7936,72.2832,73.1232,72.1409,72.1199,71.9388,68.8380,70.1488,71.5060,72.9171,69.7559,69.6429,71.8364,74.5421,70.8713,71.4826,73.1677,73.8787,67.6582,66.3288,71.4217,72.3866,72.3588,71.1327,71.4768,69.8695,72.7763,73.0478,69.2981,70.3591,72.3794,71.6837,73.6339,72.5266,71.3072,70.8704,70.1181,70.4021,72.2193,71.2864,72.1378,71.2864,70.7772,70.9939,73.1632,72.8839,70.7260,70.7856,72.5853,69.4757,74.4339,73.5535,73.4510,71.2312,69.5757,71.3667,72.8354,71.7201,72.1052,71.9633,71.3375,69.7790,72.0493,72.2871,68.6451,69.5707,69.1674,68.0620,74.3134,69.4587,73.3409,72.8793,69.1298,70.3884,71.9283,71.2436,69.8414,72.8864,70.9387,72.4476,70.1289,71.4194,74.4355,75.9232,70.3495,70.0414,73.6925,71.1950,73.9454,72.5839,72.0843,70.2059,71.3208,69.3366,72.4038,73.8619,72.0155,72.7511,71.5928,71.5396,73.2796,69.8869,70.6302,71.7596,69.8629,69.7231,69.6020,67.7418,70.7220,71.2532,70.9405,73.2738,70.2225,68.9754,68.9236,69.1635,69.9521,70.1550,71.2595,72.6640,68.2217,69.1275,72.4999,71.1456,71.1344,71.5431,70.4052,70.2465,71.5853,70.3677,70.5601,71.5877,68.5700,68.1424,72.4772,69.8783,66.5840,67.4054,71.3126,70.8204,71.9564,70.0406,71.9564,70.8481,74.4685,73.9172,69.3276,68.8786,71.9278,69.5272,,,,,
5600,74.7827,71.9302,72.9390,71.9640,71.8599,71.6021,68.7353,70.1273,71.3179,72.8297,69.6070,69.5226,71.7641,74.5115,70.7576,71.2764,72.9459,73.6675,67.4457,66.1782,71.3079,72.2970,72.0858,70.8693,71.3033,69.7072,72.4990,72.9561,68.9538,69.9060,72.1855,71.3958,73.5377,72.3647,71.1326,70.6168,69.9856,70.2265,72.1226,71.0396,71.7878,71.0396,70.5591,70.7020,72.8797,72.5431,70.3232,70.3774,72.3621,69.2618,74.1991,73.2192,73.3611,71.0643,69.1097,71.0183,72.6254,71.5416,72.0466,71.8546,71.1159,69.6621,71.7217,71.8823,68.1988,69.3009,68.9039,67.8167,74.2291,69.1829,73.2163,72.8906,68.8152,69.9956,71.7676,71.0305,69.7506,72.8359,70.7734,72.2099,69.9782,71.1502,74.1186,75.7064,70.1189,69.7403,73.3517,70.9909,73.8419,72.4921,72.0910,70.2226,70.9595,68.9569,72.1467,73.5711,71.9093,72.5517,71.5015,71.4345,73.2193,69.7507,70.5183,71.5573,69.5825,69.5250,69.2018,67.1869,70.7036,71.0352,70.7182,73.1550,69.9516,68.7579,68.7493,69.0262,69.7677,69.9150,71.1531,72.5642,67.7590,68.8543,72.4469,71.1022,70.9472,71.2812,70.2011,70.0434,71.3884,70.1676,70.2861,71.2718,68.4008,68.0103,72.3630,69.5975,66.2595,66.9980,71.2015,70.6836,71.8014,69.8246,71.8664,70.6892,74.2035,73.7490,68.9640,68.5880,71.7698,69.3848,,,,,
